product,manufacturer,brand,category,subcategory,distributor,stars_TPC,stars_pb,attributes,local_category,brand_city,total_quantity,total_spend
MILK SOY PLN UNSWTND ORGANIC,DANONE US LLC,SILK,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,USDA Certified Organic,Qualifying Spend,"USDA Certified Organic,Non GMO Verified,B-Corp. Certified,Veg Alternatives to Meat/Dairy",NA,(null),34,603.3
MILK SOY VERY VANILLA ASEPTIC,DANONE GROUP,SILK,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Non GMO Verified,B-Corp. Certified,Veg Alternatives to Meat/Dairy",NA,(null),182,3173.4900000000002
MILK WHI 1% ORGANIC ASEPTIC SS,ORGANIC VALLEY,ORG VALY,Dairy,Dairy,PERFORMANCE FOOD GROUP,USDA Certified Organic,Non-Qualifying Spend,USDA Certified Organic,NA,(null),4,94.44
MILK WHL BNB FRSH,GARELICK FARMS FRA,DAIRYPUR,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Franklin,MA",4,92.5
MILK WHL BNB W/NOZZLE FRSH,GUIDA SEIBERT DAIRY CO IN,GUIDA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"New Britain,CT",9,186.51999999999998
MILK WHL FRSH PLAS BOTTLE,HP HOOD LLC,HOOD,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Oneida,NY",4,44.64
MILK WHL GA PLAS JUG FRSH,GARELICK FARMS FRA,DAIRYPUR,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Franklin,MA",3,55.56
MILK WHL GA PLAS JUG FRSH,GUIDA SEIBERT DAIRY CO IN,GUIDA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"New Britain,CT",47,765.12
"MIREPOIX BLND DICED 1/2""",HEART OF THE HARVEST INC,FRSH ADV,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Hartford,CT",159,3161.7300000000005
"Miso, One Year - Azuki Bean",South River Miso Company,South River Miso Company,Simple Proccessed,Seasoning,MARTY'S LOCAL,USDA Certified Organic,Qualifying Spend,"Local,USDA Certified Organic,Simple Processed Foods",Local Vendors/Local Products,"Conway,MA",3,123.72
"Miso, One Year - Sweet Tasting Brown Rice",South River Miso Company,South River Miso Company,Simple Proccessed,Seasoning,MARTY'S LOCAL,USDA Certified Organic,Qualifying Spend,"Local,USDA Certified Organic,Simple Processed Foods",Local Vendors/Local Products,"Conway,MA",4,121.44
"Miso, Three Year - Three-Year Barley",South River Miso Company,South River Miso Company,Simple Proccessed,Seasoning,MARTY'S LOCAL,USDA Certified Organic,Qualifying Spend,"Local,USDA Certified Organic,Simple Processed Foods",Local Vendors/Local Products,"Conway,MA",1,97.8
MIX FZ YOGURT STRWBRY BNB,YOLATO,YOLATO,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"South Hadley,MA",6,464.22
MIX HOT CHOC MADE W/HERSHEYS,DISPENSER SERVICES,HERSHEYS,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),51,1928.26
MIX LATTE CHAI,DISPENSER SERVICES,UPOURIA,Beverages (ND),Coffee,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),60,2432.75
MIX PANCAKE & WAFFLE BUTTERMILK,THE QUAKER OATS CO,PERLMLNG,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),67,2080.77
MIX PANCAKE ORGNL CMPLT,THE QUAKER OATS CO,PERLMLNG,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),3,97.32
MIX SMOOTHIE WILDBERRY,Monin Inc,Monin,Beverages (ND),Beverages (ND),PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),67,2678.92
